번호,상호,영업표지,대표자,등록번호,업종
1,(주)르뱅코리아,에맥앤볼리오스(Emack & Bolio's),이진환,20180307,아이스크림/빙수
2,(주)와이어즈,쿠크봉,조석현,20190935,아이스크림/빙수
3,빙찌,빙찌,김형민,20200643,아이스크림/빙수
4,(주)이랜드이츠,페르케노,김완식,20171150,아이스크림/빙수
5,(주)에스에스에이푸드,도쿄빙수,김성론,20170175,아이스크림/빙수
6,(주)엘에이치지,요거트미,최순남,20200258,아이스크림/빙수
7,(주)스타럭스,콜드스톤,박상배,20180875,아이스크림/빙수
8,(주)소프트리,소프트리(SOFTREE),임현석,20130336,아이스크림/빙수
9,(주)에스이티아이,캘리소프트서브,정상목,20200554,아이스크림/빙수
10,한국하겐다즈(주),하겐다즈,김미조,20080100098,아이스크림/빙수
11,(주)신세계푸드,오슬로,김운아,20160877,아이스크림/빙수
12,(주)에프비코리아,프로즌브라이드,이경면,20181165,아이스크림/빙수
13,비알코리아(주),배스킨라빈스,김창대,20080500015,아이스크림/빙수
14,(주)에프앤지코리아,아이스빈(ICE BEAN),이한주,20080100464,아이스크림/빙수
15,(주)트루프렌드에프앤씨,눈꽃빙수 꽃빙,정창섭,20150768,아이스크림/빙수
16,제주설심당,제주설심당,고미란,20140912,아이스크림/빙수
17,(주)휴럼,요거베리,김진석,20080100603,아이스크림/빙수
18,(주)설빙,설빙,정용만,20130249,아이스크림/빙수
19,롯데제과(주),나뚜루,민명기,20080100085,아이스크림/빙수
20,스쿱스젤라또,스쿱스젤라또,정석주,20180902,아이스크림/빙수
21,(주)브알라,브알라,김범석,20130497,아이스크림/빙수
22,(주)밀탑,밀탑(MEALTOP),김성수,20171346,아이스크림/빙수
23,(주)디저트픽코리아,카페보라,최세진,20170649,아이스크림/빙수
24,(주)젤라뚜또,젤라뚜또,강원일,20170134,아이스크림/빙수
25,(주)빨라쪼,빨라쪼델프레도,박재구,20120100412,아이스크림/빙수
26,(주)앤하우스,파시야,하형운,20130100419,아이스크림/빙수
27,픽미픽미아이스,픽미픽미아이스크림할인점,조인경,20180448,아이스크림/빙수
28,스위트몬스터(주),스위트몬스터(SWEET MONSTER),박대철,20140457,아이스크림/빙수
29,(주)바세츠코리아,바세츠 아이스크림(BASSETTS ICE CREAM),윤미아,20170772,아이스크림/빙수
30,(주)알라스카인제주,알라스카인제주,정상교,20170582,아이스크림/빙수
31,(주)빙달,빙달,강원성,20151176,아이스크림/빙수
32,망고홀릭체인본부,망고홀릭,정경용,20180324,아이스크림/빙수
